struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags,source,source_url,withdrawn,chembl_id,molecule_type,chembl_max_phase,approval_basis,target_evidence,notes
900144,omega-3-acid ethyl esters,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC,ITNKVODZACVXDS-YNUSHXQLSA-N,1,,2004,1,0,,,multi_fragment,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1200711.json,0,CHEMBL1200711,Small molecule,4.0,chembl_max_phase_4,,
900145,omega-3-carboxylic acids,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,YUFFSWGQGVEMMI-JLNKQSITSA-N,1,,2014,1,0,,,multi_fragment,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3137327.json,0,CHEMBL3137327,Unknown,4.0,chembl_max_phase_4,,
900146,oteseconazole,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,IDUYJRXRDSPPRC-NRFANRHFSA-N,1,,2022,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL3311228.json,0,CHEMBL3311228,Small molecule,4.0,chembl_max_phase_4,,
900147,oxaliplatin,N[C@@H]1CCCC[C@H]1N,SSJXIUAHEKJCMH-PHDIDXHHSA-N,1,,2002,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9887053/property/Title,SMILES/JSON",0,CHEMBL414804,Small molecule,4.0,chembl_max_phase_4,,"no structure in ChEMBL; SMILES from PubChem CID 9887053 (Title: cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II); identity confirmed by pubchem_name_index_only)"
900148,oxybate,O=C(O)CCCO,SJZRECIVHVDYJC-UHFFFAOYSA-N,1,,2002,1,0,,,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1342.json,0,CHEMBL1342,Small molecule,4.0,chembl_max_phase_4,,"same parent structure as: SODIUM OXYBATE (CHEMBL1200682), CALCIUM OXYBATE (CHEMBL4594393), MAGNESIUM OXYBATE (CHEMBL4594394), POTASSIUM OXYBATE (CHEMBL4594395)"
900149,pacritinib,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,HWXVIOGONBBTBY-ONEGZZNKSA-N,1,,2022,1,6,FLT3;IRAK1;JAK1;JAK2;JAK3;TYK2,FLT3;JAK2,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2035187.json,0,CHEMBL2035187,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",same parent structure as: PACRITINIB CITRATE (CHEMBL5095049)
900150,padeliporfin,CC[C@H]1c2cc3[nH]c(c(CC(=O)OC)c4nc(cc5[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c5C)[C@@H](C)[C@@H]4CCC(=O)O)c(C(=O)NCCS(=O)(=O)O)c3C,IKDNYFNBRFYHNO-FKKSXTGDSA-N,1,,,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/171041442/property/Title,SMILES/JSON",0,CHEMBL4594284,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 171041442 (Title: Padeliporfin; identity confirmed by pubchem_title_agrees)
900151,padeliporfin potassium,CC[C@H]1C2=CC3=NC(=C(CC(=O)OC)C4=NC(=CC5=C(C)/C(=C(\C)O)C(=N5)C=C(N2)[C@@H]1C)[C@@H](C)[C@@H]4CCC(=O)O)C(C(O)=NCCS(=O)(=O)O)=C3C,KZIKEOGUKFUHKS-NUAFDZNWSA-N,1,,2017,1,0,,,multi_fragment;metal_stripped,PubChem PUG REST (name lookup; ChEMBL has no structure),"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/135391044/property/Title,SMILES/JSON",0,CHEMBL4594285,Small molecule,4.0,chembl_max_phase_4,,no structure in ChEMBL; SMILES from PubChem CID 135391044 (Title: Padeliporfin Potassium; identity confirmed by pubchem_title_agrees)
900152,pafolacianine,CC1(C)C(/C=C/C2=C(Oc3ccc(C[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)O)cc3)C(=C/C=C3\N(CCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)/CCC2)=[N+](CCCCS(=O)(=O)O)c2ccc(S(=O)(=O)O)cc21,PDXNSXLPXJFETD-DYVQZXGMSA-N,1,,2021,1,0,,,multi_fragment;dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4297412.json,0,CHEMBL4297412,Small molecule,4.0,chembl_max_phase_4,,same parent structure as: PAFOLACIANINE SODIUM (CHEMBL4594383)
900153,palovarotene,CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,YTFHCXIPDIHOIA-DHZHZOJOSA-N,1,,2023,1,1,RARG,RARG,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL2105648.json,0,CHEMBL2105648,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,
