struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags
5326,siponimod,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,KIHYPELVXPAIDH-HNSNBQBZSA-N,1,EMA;FDA;PMDA,2019-03-26,1,5,S1PR1;S1PR2;S1PR3;S1PR4;S1PR5,S1PR1;S1PR5,
5327,erdafitinib,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,OLAHOMJCDNXHFI-UHFFFAOYSA-N,1,FDA,2019-04-12,1,5,FGFR1;FGFR2;FGFR3;FGFR4;KDR,FGFR1;FGFR2;FGFR3;FGFR4;KDR,
5328,alpelisib,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,STUWGJZDJHPWGZ-LBPRGKRZSA-N,1,FDA,2019-04-24,1,4,PIK3CA;PIK3CB;PIK3CD;PIK3CG,PIK3CA,
5329,bremelanotide,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,FFHBJDQSGDNCIV-MFVUMRCOSA-N,1,FDA,2019-06-21,1,5,MC1R;MC2R;MC3R;MC4R;MC5R,MC4R,
5330,selinexor,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,DEVSOMFAQLZNKR-RJRFIUFISA-N,1,FDA,2019-07-03,1,1,XPO1,XPO1,
5334,darolutamide,C[C@@H](Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc([C@@H](C)O)[nH]n1,BLIJXOOIHRSQRB-NWDGAFQWSA-N,1,EMA;FDA;PMDA,2019-07-30,1,2,AR;PGR,AR,
5339,sotagliflozin,CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,QKDRXGFQVGOQKS-CRSSMBPESA-N,1,EMA,2019-04-26,1,2,SLC5A1;SLC5A2,SLC5A1;SLC5A2,
5341,quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,CVWXJKQAOSCOAB-UHFFFAOYSA-N,1,PMDA,2019-06-18,1,38,ABL1;CSF1R;DDR1;DDR2;EPHA3;EPHA6;EPHA7;EPHB6;FLT1;FLT3;FLT4;FRK;HIPK4;KDR;KIT;LCK;LYN;MAP3K19;MAP3K7;MAP4K4;MAP4K5;MAPK15;MKNK2;MUSK;MYLK;MYLK3;NTRK1;NTRK2;NTRK3;PDGFRA;PDGFRB;RET;RIPK1;RIPK2;SLK;STK10;TIE1;TNIK,FLT3,
5342,relebactam,O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,1,FDA,2019-06-16,1,0,,,
5343,pexidartinib,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,1,FDA,2019-08-02,1,8,CDK19;CSF1R;FLT1;FLT3;KDR;KIT;LCK;NTRK3,CSF1R;FLT3;KIT,
5344,pretomanid,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,ZLHZLMOSPGACSZ-NSHDSACASA-N,1,FDA,2019-08-14,1,0,,,
5345,entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,HAYYBYPASCDWEQ-UHFFFAOYSA-N,1,FDA;PMDA,2019-06-18,1,17,ALK;AURKA;AURKB;FLT3;IGF1R;INSR;JAK1;JAK2;JAK3;NTRK1;NTRK2;NTRK3;PTK2;PTK6;RET;ROS1;TNK2,ALK;NTRK1;NTRK2;NTRK3;ROS1,
5346,upadacitinib,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,WYQFJHHDOKWSHR-MNOVXSKESA-N,1,EMA;FDA;PMDA,2019-08-16,1,4,JAK1;JAK2;JAK3;TYK2,JAK1;JAK2;JAK3,
5347,fedratinib,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,1,EMA;FDA,2019-08-16,1,275,AAK1;ABL1;ABL2;ACVR1;ACVR1B;ACVRL1;ALK;ANKK1;AURKA;AURKB;AURKC;AXL;BLK;BMP2K;BMPR1B;BMPR2;BMX;BRAF;BRD4;BRDT;BTK;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMKK1;CAMKK2;CASK;CDK14;CDK15;CDK16;CDK17;CDK18;CDK4;CDK7;CDK9;CDKL2;CDKL5;CHEK1;CHUK;CIT;CLK1;CLK2;CLK4;COQ8A;COQ8B;CSF1R;CSK;CSNK2A1;CSNK2A2;DAPK1;DAPK2;DAPK3;DCLK1;DCLK2;DCLK3;DDR1;DDR2;DMPK;DSTYK;DYRK1B;EGFR;EIF2AK1;EIF2AK2;EIF2AK4;EPHA1;EPHA2;EPHA3;EPHA4;EPHA6;EPHA7;EPHA8;EPHB1;EPHB2;EPHB4;EPHB6;ERBB4;ERN1;FER;FES;FGFR1;FGFR2;FGFR3;FGFR4;FGR;FLT1;FLT3;FLT4;FRK;FYN;GAK;GRK4;GRK7;HCK;HIPK1;HIPK2;HIPK3;HIPK4;ICK;IGF1R;IKBKB;IKBKE;INSR;INSRR;IRAK1;IRAK3;IRAK4;ITK;JAK1;JAK2;JAK3;KDR;KIT;LATS2;LCK;LIMK1;LIMK2;LRRK2;LTK;LYN;MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP3K10;MAP3K11;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP3K4;MAP3K7;MAP3K9;MAP4K1;MAP4K2;MAP4K3;MAPK10;MAPK15;MAPK6;MAPK7;MAPK8;MAPK9;MARK1;MARK2;MARK3;MARK4;MATK;MELK;MERTK;MET;MINK1;MKNK1;MKNK2;MUSK;MYLK;MYLK2;MYLK3;MYLK4;NEK1;NEK11;NEK2;NEK3;NEK4;NEK5;NEK6;NEK7;NEK9;NIM1K;NTRK1;NTRK2;NTRK3;NUAK1;NUAK2;PAK1;PAK2;PAK4;PAK5;PAK6;PDGFRA;PDGFRB;PHKG1;PHKG2;PI4KB;PIK3CA;PIK3CG;PIP4K2B;PIP4K2C;PIP5K1A;PKN1;PLK1;PLK2;PLK3;PLK4;PRKAA1;PRKAA2;PRKCE;PRKD3;PRKG1;PRKG2;PRPF4B;PTK2;PTK2B;PTK6;RET;RIOK1;RIOK2;RIOK3;RIPK1;RIPK2;RIPK4;ROCK1;ROCK2;ROS1;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KA6;RPS6KB1;SBK1;SBK3;SGK3;SIK1;SIK2;SIK3;SLK;SNRK;SRC;SRMS;SRPK1;SRPK2;SRPK3;STK10;STK11;STK16;STK17A;STK17B;STK25;STK26;STK33;STK36;STK38;STK39;SYK;TAOK1;TAOK2;TAOK3;TBK1;TEK;TESK1;TGFBR2;TIE1;TLK1;TLK2;TNK1;TNK2;TNNI3K;TSSK1B;TTK;TXK;TYK2;ULK1;ULK2;ULK3;WEE1;WEE2;YES1;ZAK;ZAP70,FLT3;JAK2,
