struct_id,name,smiles,targets,moa_targets
2521,sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O,CA1;CA12;CA13;CA14;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA9,
2523,sulfaphenazole,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,CYP2C9,
2525,sulfasalazine,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,ACAT1;ALOX5;CA1;CA2;CASP1;MAPK1;MMP1;PTGS1;PTGS2;SLC10A1;SLC46A1;SLC7A11;TBXAS1,ALOX5;PTGS1;PTGS2
2527,sulfathiazole,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,EDNRA,
2528,sulfinpyrazone,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1,ABCC1;FPR1;NAPRT;SLC22A12,SLC22A12
2529,sulfafurazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,EDNRA;EDNRB;HRH4,
2531,sulfobromophthalein,OC1=C(C=C(C=C1)C1(OC(=O)C2=C1C(Br)=C(Br)C(Br)=C2Br)C1=CC(=C(O)C=C1)S(O)(=O)=O)S(O)(=O)=O,HPGDS,
2532,sulforidazine,CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)(=O)=O,DRD2;DRD3,
2533,aldesulfone,OS(=O)CNC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NCS(O)=O)C=C1,G6PD,
2534,sulindac,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O,AKR1B1;C5;GLO1;GLRA1;MMP2;PTGES;PTGS1;PTGS2;RXRA,PTGS2
2536,suloctidil,CCCCCCCCNC(C)C(O)C1=CC=C(SC(C)C)C=C1,ADORA3;ADRA2A;ADRA2C;ADRB3;CHRM1;CHRM3;CHRM4;CHRM5;DRD3;EGFR;FYN;HRH1;HRH2;HTR1A;HTR2B;SIGMAR1;SLC6A2;SLC6A3;SLC6A4;TACR2,
2537,sulpiride,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,ADRA2A;CA1;CA12;CA2;CA3;CA5A;CA5B;CA6;CA7;CA9;DRD2;DRD3;DRD4,DRD2
2538,sulprostone,CS(=O)(=O)NC(=O)CCC\C=C/C[C@@H]1[C@@H](\C=C\[C@@H](O)COC2=CC=CC=C2)[C@H](O)CC1=O,PTGER1;PTGER3;PTGER4;PTGFR,
2540,sultiame,NS(=O)(=O)C1=CC=C(C=C1)N1CCCCS1(=O)=O,CA1;CA2;CA6;CA9,
2541,sultopride,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(=O)(=O)CC,DRD2;DRD3,
2543,sumatriptan,CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2C;HTR3A;HTR5A;HTR6;HTR7;SLC47A1,HTR1B;HTR1D
2544,sunitinib,CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,AAK1;ABL1;ABL2;ACHE;AKT2;ALK;ANKK1;AURKA;AURKB;AURKC;AXL;BLK;BMP2K;BMPR1B;BMPR2;BRD9;BRSK1;BRSK2;BTK;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4;CAMKK1;CAMKK2;CDK14;CDK16;CDK17;CDK18;CDK4;CDK5;CDK7;CDKL2;CHEK1;CHEK2;CHUK;CIT;CLK1;CLK2;CLK4;CSF1R;CSNK1A1;CSNK1A1L;CSNK1D;CSNK1E;CSNK1G1;CSNK1G2;CSNK1G3;CSNK2A1;CSNK2A2;DAPK1;DAPK2;DAPK3;DCLK1;DCLK2;DCLK3;DDR1;DDR2;DLK1;DSTYK;DYRK1A;DYRK1B;DYRK2;EGFR;EIF2AK2;EIF2AK4;EPHA3;EPHA5;EPHA6;EPHA7;EPHB1;EPHB4;EPHB6;ERN1;FER;FES;FGFR1;FGFR2;FGFR3;FGFR4;FGR;FLT1;FLT3;FLT4;FRK;FYN;GAK;GRK1;GRK4;GRK7;HCK;HIPK1;HIPK2;HIPK3;HIPK4;HUNK;ICK;IGF1R;IKBKE;INSR;INSRR;IRAK1;IRAK3;IRAK4;ITK;JAK1;JAK2;JAK3;KCNH2;KDR;KIT;LATS1;LATS2;LCK;LRRK2;LTK;LYN;MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP3K11;MAP3K12;MAP3K13;MAP3K15;MAP3K19;MAP3K2;MAP3K3;MAP3K4;MAP3K7;MAP3K9;MAP4K1;MAP4K2;MAP4K3;MAP4K4;MAP4K5;MAPK10;MAPK7;MAPK9;MARK1;MARK2;MARK3;MARK4;MAST1;MATK;MELK;MERTK;MET;MINK1;MKNK1;MKNK2;MUSK;MYLK;MYLK2;MYLK3;MYLK4;MYO3A;MYO3B;NEK2;NEK7;NIM1K;NTRK1;NTRK2;NTRK3;NUAK1;NUAK2;OXSR1;PAK3;PAK4;PAK5;PAK6;PDGFRA;PDGFRB;PDPK1;PHKG1;PHKG2;PIK3CA;PIK3CD;PIK3CG;PIM2;PIM3;PIP4K2B;PIP5K1A;PKN1;PKN2;PLK2;PLK4;PRKAA1;PRKAA2;PRKCA;PRKCQ;PRKD1;PRKD2;PRKD3;PRPF4;PRPF4B;PTK2;PTK2B;PTK6;RET;RIOK1;RIOK2;RIOK3;RIPK1;RIPK4;ROCK1;ROCK2;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KA6;RPS6KB1;SBK1;SBK3;SGK3;SIK1;SIK2;SLC22A1;SLK;SNRK;SRC;SRPK1;SRPK2;SRPK3;STK10;STK11;STK16;STK17A;STK17B;STK24;STK25;STK26;STK3;STK33;STK35;STK38;STK38L;STK39;STK4;TAOK1;TAOK3;TBK1;TIE1;TLK1;TLK2;TNIK;TNK1;TNK2;TNKS2;TSSK1B;TTK;TYK2;TYRO3;ULK1;ULK2;ULK3;WEE1;YES1,CSF1R;FLT1;FLT3;FLT4;KDR;KIT;PDGFRA;PDGFRB;RET
2546,suprofen,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,CYP2C9;PTGS1;PTGS2,PTGS1;PTGS2
2548,secretin human,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](C(C)C)C(N)=O,SCTR,SCTR
2551,tacrine,NC1=C2CCCCC2=NC2=CC=CC=C12,ACHE;ADRA1D;AOX1;APP;BCHE;CHRNE;CYP2D6;GRIN1;GRIN2A;GRIN2B;SLC22A1;SLC6A2,ACHE;BCHE
2552,tacrolimus,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@@H]1C)OC,CYP3A4;FKBP10;FKBP1A;FKBP1B;FKBP5;IFNG;IL2;IL5;KCNH2;MTOR;PPP3CA;PPP3CC;SF3B3,FKBP1A
2553,tadalafil,CN1CC(=O)N2[C@H](CC3=C(NC4=C3C=CC=C4)[C@H]2C2=CC=C3OCOC3=C2)C1=O,KCNH2;PDE11A;PDE5A;PDE6A;PDE6B;PDE6C;PDE6D;PDE6G;PDE6H,PDE5A
2556,talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ
2557,talinolol,CC(C)(C)NCC(O)COC1=CC=C(NC(=O)NC2CCCCC2)C=C1,ABCB1;ADRB1;ADRB2;EPHX2,
2558,talipexole,NC1=NC2=C(CCN(CC=C)CC2)S1,ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;DRD2;DRD3;DRD4;DRD5;HTR1A,
2560,taltirelin,CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCCC1C(N)=O,TRHR,TRHR
2561,tamoxifen,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,ABCB1;ADORA1;ADORA2A;ADORA3;ADRA1D;ADRA2A;ADRA2B;ADRB1;ADRB3;AOX1;BDKRB2;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DHCR7;DRD1;DRD2;DRD3;DRD4;EBP;EBPL;EGFR;ERBB2;ESR1;ESR2;ESRRA;ESRRG;FYN;GPER1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR6;KCNH2;LCK;MC3R;MC4R;MC5R;NR1I2;OPRD1;OPRK1;OPRM1;PGR;PPP3CA;PTGS1;PTGS2;SIGMAR1;SLC22A2;SLC6A2;SLC6A3;SLC6A4;TACR1;TACR2;TBXAS1,ESR1
2562,tamsulosin,CCOC1=C(OCCN[C@H](C)CC2=CC(=C(OC)C=C2)S(N)(=O)=O)C=CC=C1,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2C;DRD2;DRD3;HTR1A;HTR7,
2563,tandospirone,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,DRD2;DRD4;HTR1A,
2571,tazarotene,CCOC(=O)C1=CN=C(C=C1)C#CC1=CC=C2SCCC(C)(C)C2=C1,RARA;RARB;RARG,RARA;RARB;RARG
2579,tegaserod,CCCCCNC(=N)NN=CC1=CNC2=C1C=C(OC)C=C2,HTR1A;HTR1D;HTR2B;HTR3A;HTR4,HTR4
2580,teicoplanin aglycone,N[C@@H]1C2=CC(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(=C(O)C=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC(Cl)=C(O6)C=C3)C(O)=O)C(Cl)=C4)NC1=O)=C(O)C=C2,CTSL,CTSL
2581,telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=NC(=C3)C3=CN=CC=C3)C(=O)O[C@]12C)OC,KCNH2,
2583,telmisartan,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=C(C=CC=C3)N2C)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C(O)=O,ACE;AGTR1;AGTR2;GLRA1;PPARG;SLC47A1,AGTR1
2585,temazepam,CN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1,GABRA1;GABRB2;GABRG2;NR1I3,GABRA1;GABRB2;GABRG2
2586,temocapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)C1=CC=CS1,ACE,ACE
2590,teniposide,COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]2O)C2=CC=CS2)C2=CC3=C(OCO3)C=C12,ABCB1;ABCC3;ABCC6;ABCG2;TOP2A,TOP2A
2595,tenoxicam,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O,PTGS1;PTGS2,
2597,terbinafine,CN(C\C=C\C#CC(C)(C)C)CC1=C2C=CC=CC2=CC=C1,ADRA2A;CYP2D6;SIGMAR1;SLC6A2;SQLE,
2598,terbutaline,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,ADRB2,ADRB2
